CODE,NAME
1360,日経平均ベア2倍上場投信
9432,ＮＴＴ(株)
8918,(株)ランド
4564,オンコセラピー・サイエンス(株)
6740,(株)ジャパンディスプレイ
9434,ソフトバンク(株)
3664,(株)ＷＩＺＥ
9984,ソフトバンクグループ(株)
8729,ソニーフィナンシャルグループ(株)
8105,Ｂｉｔｃｏｉｎ　Ｊａｐａｎ(株)
5803,(株)フジクラ
8306,(株)三菱ＵＦＪフィナンシャル・グループ
9501,東京電力ホールディングス(株)
285A,キオクシアホールディングス(株)
6981,(株)村田製作所
7201,日産自動車(株)
3350,(株)メタプラネット
7011,三菱重工業(株)
1306,(NEXT FUNDS)TOPIX連動型上場投信
5401,日本製鉄(株)
7267,ホンダ
7203,トヨタ自動車(株)
6762,ＴＤＫ(株)
186A,(株)アストロスケールホールディングス
1579,日経平均ブル2倍上場投信
4689,ＬＩＮＥヤフー(株)
6976,太陽誘電(株)
7777,(株)スリー・ディー・マトリックス
8316,(株)三井住友フィナンシャルグループ
4755,楽天グループ(株)
6758,ソニーグループ(株)
5016,ＪＸ金属(株)
6723,ルネサスエレクトロニクス(株)
8136,(株)サンリオ
4568,第一三共(株)
3436,(株)ＳＵＭＣＯ
6971,京セラ(株)
1459,楽天 ETF-日経ダブルインバース指数連動型
8604,野村ホールディングス(株)
6501,(株)日立製作所
6659,(株)メディアリンクス
8001,伊藤忠商事(株)
7013,(株)ＩＨＩ
4597,ソレイジア・ファーマ(株)
3687,(株)フィックスターズ
7974,任天堂(株)
6752,パナソニック　ホールディングス(株)
7211,三菱自動車(株)
6902,(株)デンソー
9831,(株)ヤマダホールディングス
