CODE,NAME
9432,ＮＴＴ(株)
8918,(株)ランド
1360,日経平均ベア2倍上場投信
4564,オンコセラピー・サイエンス(株)
6740,(株)ジャパンディスプレイ
9434,ソフトバンク(株)
8729,ソニーフィナンシャルグループ(株)
9984,ソフトバンクグループ(株)
8306,(株)三菱ＵＦＪフィナンシャル・グループ
5803,(株)フジクラ
6981,(株)村田製作所
4597,ソレイジア・ファーマ(株)
285A,キオクシアホールディングス(株)
6976,太陽誘電(株)
7201,日産自動車(株)
1306,(NEXT FUNDS)TOPIX連動型上場投信
9501,東京電力ホールディングス(株)
7203,トヨタ自動車(株)
1579,日経平均ブル2倍上場投信
1459,楽天 ETF-日経ダブルインバース指数連動型
5401,日本製鉄(株)
3350,(株)メタプラネット
8316,(株)三井住友フィナンシャルグループ
8136,(株)サンリオ
6723,ルネサスエレクトロニクス(株)
7011,三菱重工業(株)
4689,ＬＩＮＥヤフー(株)
7974,任天堂(株)
4755,楽天グループ(株)
3436,(株)ＳＵＭＣＯ
7013,(株)ＩＨＩ
8105,Ｂｉｔｃｏｉｎ　Ｊａｐａｎ(株)
4881,(株)ファンペップ
6758,ソニーグループ(株)
6762,ＴＤＫ(株)
7267,ホンダ
7012,川崎重工業(株)
6501,(株)日立製作所
5016,ＪＸ金属(株)
6752,パナソニック　ホールディングス(株)
8801,三井不動産(株)
8001,伊藤忠商事(株)
8411,(株)みずほフィナンシャルグループ
8308,(株)りそなホールディングス
2181,パーソルホールディングス(株)
186A,(株)アストロスケールホールディングス
8750,(株)第一ライフグループ
1356,TOPIXベア2倍上場投信
8058,三菱商事(株)
5020,ＥＮＥＯＳホールディングス(株)
