CODE,NAME
1360,日経平均ベア2倍上場投信
4564,オンコセラピー・サイエンス(株)
8918,(株)ランド
9432,ＮＴＴ(株)
5016,ＪＸ金属(株)
9434,ソフトバンク(株)
9984,ソフトバンクグループ(株)
6740,(株)ジャパンディスプレイ
4597,ソレイジア・ファーマ(株)
8729,ソニーフィナンシャルグループ(株)
9501,東京電力ホールディングス(株)
5803,(株)フジクラ
3103,ユニチカ(株)
8306,(株)三菱ＵＦＪフィナンシャル・グループ
285A,キオクシアホールディングス(株)
4689,ＬＩＮＥヤフー(株)
7201,日産自動車(株)
7011,三菱重工業(株)
7013,(株)ＩＨＩ
6501,(株)日立製作所
3350,(株)メタプラネット
3656,ＫＬａｂ(株)
5401,日本製鉄(株)
7203,トヨタ自動車(株)
7267,ホンダ
1579,日経平均ブル2倍上場投信
3697,(株)ＳＨＩＦＴ
6758,ソニーグループ(株)
8604,野村ホールディングス(株)
1306,(NEXT FUNDS)TOPIX連動型上場投信
3436,(株)ＳＵＭＣＯ
8058,三菱商事(株)
8001,伊藤忠商事(株)
1459,楽天 ETF-日経ダブルインバース指数連動型
6981,(株)村田製作所
4568,第一三共(株)
7012,川崎重工業(株)
6701,ＮＥＣ
6857,(株)アドバンテスト
6762,ＴＤＫ(株)
6613,(株)ＱＤレーザ
6702,富士通(株)
8316,(株)三井住友フィナンシャルグループ
8136,(株)サンリオ
7211,三菱自動車(株)
1605,(株)ＩＮＰＥＸ
4755,楽天グループ(株)
4005,住友化学(株)
8801,三井不動産(株)
4506,住友ファーマ(株)
